,LOC,ZC,CITY,LAT,LONG,num_calls,SPLIT_CITY,STATE
41,Club/Bar/Restaurant,11231,,40.67775273,-73.99811085,30,BROOKLYN,NY
42,Club/Bar/Restaurant,11434,JAMAICA,40.68187917,-73.7660803,,QUEENS,NY
43,Club/Bar/Restaurant,11238,,40.68272042,-73.96329223,231,BROOKLYN,NY
44,Club/Bar/Restaurant,11418,RICHMOND HILL,40.69957784,-73.83235864,79,QUEENS,NY
45,Club/Bar/Restaurant,11214,,40.5995808,-73.98996033,62,BROOKLYN,NY
46,Club/Bar/Restaurant,10016,NEW YORK,40.7475205,-73.9824024,40,MANHATTAN,NY
47,Club/Bar/Restaurant,11218,,40.63559076,-73.97774084,37,BROOKLYN,NY
48,Club/Bar/Restaurant,11435,JAMAICA,40.69822499,-73.80633492,106,QUEENS,NY
49,Club/Bar/Restaurant,11221,,40.69489819,-73.93155477,14,BROOKLYN,NY
50,Club/Bar/Restaurant,10013,NEW YORK,40.72271742,-74.00444827,14,MANHATTAN,NY
51,Club/Bar/Restaurant,10016,NEW YORK,40.74860668,-73.97810369,70,MANHATTAN,NY
52,Club/Bar/Restaurant,10034,NEW YORK,40.86210781,-73.91928608,29,MANHATTAN,NY
53,Club/Bar/Restaurant,11216,,40.6716626,-73.95091902,42,BROOKLYN,NY
54,Club/Bar/Restaurant,11238,,40.68142275,-73.95710239,302,BROOKLYN,NY
55,Club/Bar/Restaurant,10304,STATEN ISLAND,40.62863721,-74.08003528,90,STATEN ISLAND,NY
56,Club/Bar/Restaurant,10034,NEW YORK,40.86813967,-73.93041833,14,MANHATTAN,NY
57,Club/Bar/Restaurant,11234,,40.61655033,-73.93020153,89,BROOKLYN,NY
58,Club/Bar/Restaurant,11208,,40.68642817,-73.86869412,18,BROOKLYN,NY
59,Club/Bar/Restaurant,10019,NEW YORK,40.76449114,-73.98165065,44,MANHATTAN,NY
60,Club/Bar/Restaurant,11205,,40.69403903,-73.96078695,40,BROOKLYN,NY
61,Club/Bar/Restaurant,10003,NEW YORK,40.73250431,-73.9848383,80,MANHATTAN,NY
62,Club/Bar/Restaurant,10027,NEW YORK,40.81986557,-73.95852336,118,MANHATTAN,NY
63,Club/Bar/Restaurant,10014,NEW YORK,40.73249706,-74.00183297,217,MANHATTAN,NY
64,Club/Bar/Restaurant,10475,BRONX,40.88228797,-73.82769936,10,BRONX,NY
65,Club/Bar/Restaurant,10017,NEW YORK,40.75524246,-73.97327568,16,MANHATTAN,NY
66,Club/Bar/Restaurant,11215,,40.65972716,-73.98791847,93,BROOKLYN,NY
67,Club/Bar/Restaurant,11693,FAR ROCKAWAY,40.58485012,-73.81903413,106,QUEENS,NY
68,Club/Bar/Restaurant,11207,,40.69161916,-73.90573918,117,BROOKLYN,NY
69,Club/Bar/Restaurant,10036,NEW YORK,40.76035852,-73.98928635,42,MANHATTAN,NY
70,Club/Bar/Restaurant,11211,,40.71696661,-73.95482851,36,BROOKLYN,NY
71,Club/Bar/Restaurant,10002,NEW YORK,40.72306557,-73.98907949,98,MANHATTAN,NY
72,Club/Bar/Restaurant,10029,NEW YORK,40.79585513,-73.93552852,148,MANHATTAN,NY
73,Club/Bar/Restaurant,10013,NEW YORK,40.71957476,-73.99950577,10,MANHATTAN,NY
74,Club/Bar/Restaurant,11209,,40.62084753,-74.02677137,25,BROOKLYN,NY
75,Club/Bar/Restaurant,10009,NEW YORK,40.72483716,-73.97832075,127,MANHATTAN,NY
76,Club/Bar/Restaurant,10456,BRONX,40.8384769,-73.91310235,65,BRONX,NY
77,Club/Bar/Restaurant,11106,ASTORIA,40.75618226,-73.93008771,18,QUEENS,NY
78,Club/Bar/Restaurant,11222,,40.72979695,-73.95838458,93,BROOKLYN,NY
79,Club/Bar/Restaurant,11209,,40.62075694,-74.02683617,143,BROOKLYN,NY
80,Club/Bar/Restaurant,11106,ASTORIA,40.76331469,-73.92819586,267,QUEENS,NY
81,Club/Bar/Restaurant,11249,,40.71795041,-73.95792662,64,BROOKLYN,NY
82,Club/Bar/Restaurant,11249,,40.7111325,-73.96654457,70,BROOKLYN,NY
83,Club/Bar/Restaurant,11377,WOODSIDE,40.75256615,-73.90524869,45,QUEENS,NY
84,Club/Bar/Restaurant,10011,NEW YORK,40.74294904,-73.99646701,85,MANHATTAN,NY
85,Club/Bar/Restaurant,10003,NEW YORK,40.73234787,-73.98493936,41,MANHATTAN,NY
86,Club/Bar/Restaurant,10013,NEW YORK,40.71992609,-74.0002886,55,MANHATTAN,NY
87,Club/Bar/Restaurant,11420,SOUTH OZONE PARK,40.67596498,-73.81819204,95,QUEENS,NY
88,Club/Bar/Restaurant,11218,,40.63597511,-73.97814065,183,BROOKLYN,NY
89,Club/Bar/Restaurant,11369,EAST ELMHURST,40.76349768,-73.87813729,59,QUEENS,NY
90,Club/Bar/Restaurant,11211,,40.71175719,-73.94278797,27,BROOKLYN,NY
91,Club/Bar/Restaurant,10010,NEW YORK,40.74091496,-73.99208259,40,MANHATTAN,NY
92,Club/Bar/Restaurant,10018,NEW YORK,40.75007365,-73.98636819,30,MANHATTAN,NY
93,Club/Bar/Restaurant,10028,NEW YORK,40.77756088,-73.95102149,22,MANHATTAN,NY
94,Club/Bar/Restaurant,10002,NEW YORK,40.72114459,-73.99370114,87,MANHATTAN,NY
95,Club/Bar/Restaurant,10018,NEW YORK,40.75612923,-73.994297,16,MANHATTAN,NY
96,Club/Bar/Restaurant,10019,NEW YORK,40.76579016,-73.98728192,60,MANHATTAN,NY
97,Club/Bar/Restaurant,10016,NEW YORK,40.74934479,-73.9769377,48,MANHATTAN,NY
98,Club/Bar/Restaurant,10014,NEW YORK,40.7327221,-74.00327627,31,MANHATTAN,NY
99,Club/Bar/Restaurant,11222,,40.73029727,-73.95326078,16,BROOKLYN,NY
100,Club/Bar/Restaurant,10028,NEW YORK,40.77680945,-73.95253489,11,MANHATTAN,NY
101,Club/Bar/Restaurant,11211,,40.71102508,-73.95029487,40,BROOKLYN,NY
102,Club/Bar/Restaurant,10034,NEW YORK,40.86720969,-73.92253385,141,MANHATTAN,NY
103,Club/Bar/Restaurant,10034,NEW YORK,40.86769186,-73.92121362,16,MANHATTAN,NY
104,Club/Bar/Restaurant,11211,,40.7174035,-73.95605473,38,BROOKLYN,NY
105,Club/Bar/Restaurant,10009,NEW YORK,40.72591124,-73.9836492,32,MANHATTAN,NY
106,Club/Bar/Restaurant,10307,STATEN ISLAND,40.51770136,-74.24054207,36,STATEN ISLAND,NY
107,Club/Bar/Restaurant,10001,NEW YORK,40.74928842,-73.98454214,63,MANHATTAN,NY
108,Club/Bar/Restaurant,11209,,40.62343625,-74.02509733,57,BROOKLYN,NY
109,Club/Bar/Restaurant,10012,NEW YORK,40.72707618,-74.000184,40,MANHATTAN,NY
110,Club/Bar/Restaurant,11205,,40.68958479,-73.97198946,16,BROOKLYN,NY
111,Club/Bar/Restaurant,10011,NEW YORK,40.73915309,-74.00112587,76,MANHATTAN,NY
112,Club/Bar/Restaurant,10016,NEW YORK,40.74195612,-73.97792905,13,MANHATTAN,NY
113,Club/Bar/Restaurant,10038,NEW YORK,40.70607594,-74.0042019,17,MANHATTAN,NY
114,Club/Bar/Restaurant,11211,,40.71286133,-73.95712905,34,BROOKLYN,NY
115,Club/Bar/Restaurant,10016,NEW YORK,40.743596,-73.98600864,40,MANHATTAN,NY
116,Club/Bar/Restaurant,11208,,40.67462684,-73.87725059,19,BROOKLYN,NY
117,Club/Bar/Restaurant,10034,NEW YORK,40.86941776,-73.91657993,28,MANHATTAN,NY
118,Club/Bar/Restaurant,11217,,40.68035203,-73.97476588,114,BROOKLYN,NY
119,Club/Bar/Restaurant,10034,NEW YORK,40.86385196,-73.92523119,194,MANHATTAN,NY
120,Club/Bar/Restaurant,11105,ASTORIA,40.77596729,-73.91512641,82,QUEENS,NY
121,Club/Bar/Restaurant,11106,ASTORIA,40.76227854,-73.92601303,87,QUEENS,NY
122,Club/Bar/Restaurant,10012,NEW YORK,40.72670835,-74.00275643,14,MANHATTAN,NY
123,Club/Bar/Restaurant,11223,,40.59916024,-73.96126399,45,BROOKLYN,NY
124,Club/Bar/Restaurant,10009,NEW YORK,40.73029441,-73.98223737,66,MANHATTAN,NY
125,Club/Bar/Restaurant,10022,NEW YORK,40.75686026,-73.96709552,44,MANHATTAN,NY
